threshold,accuracy,balanced_accuracy,precision,recall,f1
0.1,0.5484841398319084,0.5502780532764349,0.5246781294563592,0.9916371977571535,0.6862561377318411
0.12,0.5517203244087505,0.5534566010112069,0.5268015822350934,0.9806352690679732,0.6854021259915233
0.14,0.5691778534327756,0.5708291253227314,0.5370570096474749,0.9770939598272217,0.6931345298962766
0.16,0.5911640310958132,0.5926977675607968,0.5508179895451656,0.9700451898176891,0.7026514264710959
0.18,0.5998893134186332,0.601254074198215,0.5585716072395812,0.9370281618136761,0.6999162973986492
0.2,0.6107269004153286,0.6120063968266494,0.5667377819663515,0.9268027674038736,0.7033677725592778
0.22,0.6206273295440757,0.621825758948617,0.5746485475434983,0.9166770954624726,0.7064414991378157
0.24,0.6267655240469766,0.6279246859878945,0.5794813154457833,0.9131149910826242,0.7090102981917745
0.26,0.640057206439405,0.6410915627183994,0.5915393182792033,0.8955757485514126,0.7124778432842426
0.28,0.6463300626617635,0.6472742772354386,0.5986034208454986,0.8795807676711634,0.7123876179006136
0.3,0.6511818738356769,0.6520692722095215,0.6039066258851212,0.8703971900299801,0.7130669059343534
0.32,0.6656439937305894,0.666426099301556,0.6182599550637019,0.8588486750666134,0.7189609923358967
0.34,0.6721864201114052,0.6728458350671841,0.628605699285752,0.8350826596076244,0.7172807189652534
0.36,0.6711450747505003,0.6717147568937727,0.6322305856211303,0.811874486532736,0.7108788577355761
0.38,0.6886194044547401,0.6891111840943305,0.6504190087376975,0.8101044469882602,0.7215321730279285
0.4,0.6945387709398879,0.6949874049727158,0.6578995012742105,0.8053654912276461,0.7242017785393791
0.42,0.701165426707543,0.7015494728948167,0.6677141811777328,0.796036917187816,0.7262507115326094
0.44,0.7101253325577417,0.7104382417340385,0.6805955343220431,0.7874237433321805,0.7301226782081242
0.46,0.7062051734995823,0.7064158447238503,0.6852773077391637,0.7582475936821177,0.7199181241509278
0.48,0.7089535742358443,0.7091371805642241,0.6900722138999277,0.7543101136631957,0.7207626958173496
0.5,0.7086421114401068,0.7087385178887115,0.6975726423431828,0.7324575372250844,0.7145895897113699
0.52,0.7116357700494361,0.7116488458837071,0.7086201512321362,0.7148659124845295,0.7117293297453946
0.54,0.7073356697989025,0.7073135316565954,0.7079187400521154,0.701866852175514,0.7048798064269173
0.56,0.7063085706806497,0.7062403643283146,0.7117375944503584,0.6894594558588156,0.7004214210638403
0.58,0.7027754298686354,0.7026675538893368,0.712365792643405,0.6761266691668184,0.6937733172572266
0.6,0.6955260068462328,0.69532712003829,0.7148623784656363,0.6463947082376812,0.678906671005783
0.62,0.692311191565954,0.6920499453883634,0.7187392576399141,0.6277751668074093,0.6701846622120342
0.64,0.6881322369941139,0.6876994847306146,0.7369092251903804,0.58122881337634,0.6498756002659777
0.66,0.6862116790367024,0.6857110961012305,0.7448634188386496,0.5625519454657028,0.6409965445019392
0.68,0.6819589069262257,0.6813452829465882,0.7582984785009168,0.5303744791365643,0.6241803371156198
0.7,0.6741495905724703,0.6734457936579898,0.76387125250853,0.500289611005451,0.604601618046393
0.72,0.6708336993422276,0.6700285844935755,0.7801913057220103,0.4719450025381653,0.5881266844994651
0.74,0.6667564351016166,0.6658653585214631,0.7940526817053225,0.44663248623131085,0.5716997874948422
0.76,0.655027148723973,0.6540469143916977,0.7962658699251152,0.41287843014638714,0.54379117915767
0.78,0.6357234358666513,0.6346466707807428,0.7850137102527994,0.36972858425132665,0.502695725428998
0.8,0.6130296187401502,0.6118203585597912,0.7747058787101067,0.3143043104548368,0.44718295464250896
0.82,0.6050784709660973,0.6037393256724991,0.80288738049357,0.274267453480834,0.40886578295781295
0.84,0.5733109375898342,0.5717471687681844,0.8099826169593638,0.18701084194322382,0.30386464385368944
0.86,0.5542696036753441,0.5525994804926333,0.7938533244564734,0.1416966349022991,0.24047105888088247
0.88,0.5471174899423663,0.545376765254204,0.8150939078285704,0.11710372817542589,0.2047860490806766
0.9,0.5411060134972226,0.53929373806188,0.86203860129258,0.0934169661658731,0.16856677294755987
