threshold,accuracy,balanced_accuracy,precision,recall,f1
0.1,0.5479989329757172,0.5609517436599769,0.5177427010458302,0.9926321241366673,0.6805304597595904
0.12,0.5795468845902604,0.5914381103522711,0.5361163848352068,0.9877388813900936,0.6950043222460942
0.14,0.602101882176912,0.6132710727600211,0.5501238667162015,0.9855084626257135,0.7060957441206414
0.16,0.6264900198972744,0.636827572239649,0.5663286311161745,0.9813488222704925,0.7181934891508265
0.18,0.6397684246155062,0.6496851278631219,0.575523618241122,0.9801806732204988,0.7252241067637333
0.2,0.655289874420427,0.6644348649776934,0.5876966896271629,0.9692114188428674,0.7317096485065463
0.22,0.6609918065562338,0.6695943712092665,0.5933899117982447,0.9562934107473994,0.7323494476593985
0.24,0.6789279839716232,0.6868615778507572,0.6080164715843371,0.9512657220766864,0.741860877046519
0.26,0.6888539702362363,0.6962921625792833,0.6171497727803029,0.9441859810697587,0.7464174982769366
0.28,0.6827764483261503,0.6893100523133351,0.6178076503016072,0.9070565108869462,0.7349985211076715
0.3,0.6954673130647716,0.7015578687925953,0.6294704927829219,0.904538787605565,0.7423429358017267
0.32,0.7026064366910583,0.7081390186858054,0.6383222358295241,0.8925242582086221,0.7443177121292982
0.34,0.7078594431741055,0.7124974360488063,0.6487643824478904,0.8670685617761399,0.7421968260607228
0.36,0.7236882729527806,0.727705054029714,0.6664064468608689,0.8615729554334847,0.751525538995766
0.38,0.7209402238973123,0.7242707493148289,0.670402526451876,0.835267699279364,0.7438090576421938
0.4,0.7241589894585353,0.7270000932945173,0.6778918420874633,0.8216860124194685,0.7428947325441595
0.42,0.7262583115824129,0.7287420319803826,0.6834096194296133,0.8115173764618914,0.7419744013353676
0.44,0.7218428964696939,0.7239730008543173,0.6832811924017044,0.7949633282530387,0.7349034388489089
0.46,0.72154042833443,0.7233419306601301,0.6866290158395505,0.7833808850110123,0.7318209840510566
0.48,0.7218208124599467,0.7227190820041307,0.6976268205015133,0.7526558538798492,0.7240973357115056
0.5,0.7208900190114959,0.7210267570018234,0.7067452088363746,0.7255838457394788,0.7160406401688205
0.52,0.7200112839495584,0.7194696592713934,0.7156332381960927,0.7014188475329091,0.7084547508830839
0.54,0.7120100390269801,0.7109125028859016,0.7154998677647815,0.6743347414627807,0.6943076753772486
0.56,0.7118516905672824,0.710304805138106,0.7226110718882981,0.6587515085681092,0.6892051955789271
0.58,0.7080323787784564,0.7061564120167103,0.7237798519058429,0.6436357695698722,0.6813591927198248
0.6,0.7023729469313722,0.700074364481317,0.7244537770824986,0.6234691418169682,0.6701786405597489
0.62,0.6853319061788781,0.6824087935133631,0.7144621407902628,0.5849897530915716,0.6432758816267161
0.64,0.6758269607086599,0.6721121385631752,0.7167259476936674,0.5483076704630835,0.6213057567797625
0.66,0.6670049454823006,0.6628343229571593,0.7134148115435877,0.5238393231564267,0.604103427949948
0.68,0.6642864423966495,0.6593442276341086,0.7258391586238315,0.49463425069575706,0.5883371249385815
0.7,0.6461180081304457,0.6403264804993635,0.7165230748439156,0.4473113185959299,0.5507809070078113
0.72,0.6318568139045403,0.6254044558047475,0.7077786230083492,0.410365691833986,0.519518027218306
0.74,0.6300225225180528,0.6225138886333185,0.7337016218874114,0.3722724536866032,0.4939300279929355
0.76,0.6169421891014303,0.6084349755524842,0.7390417801016798,0.32491371741596126,0.4513813080693532
0.78,0.5959125606432529,0.5861431124565414,0.7354392849139093,0.2605551599195837,0.3847862836703326
0.8,0.5865059114597401,0.5762007320888288,0.731744910194174,0.23275838122351578,0.35317611102186247
0.82,0.5811024667568201,0.5700676827357916,0.7539568985757236,0.20230968172800076,0.3190172768330742
0.84,0.5682914235051855,0.5566256794136434,0.7432942440255068,0.16783957184702641,0.2738438317189036
0.86,0.5629803268881209,0.550614261472349,0.7777910402356594,0.13848843381958684,0.2351139931672182
0.88,0.5512048634613996,0.5381324811684397,0.7864521760750252,0.10246711868312046,0.18131114700666587
0.9,0.5435316616996568,0.5299574796443405,0.8053687382451415,0.07756855671971195,0.14150787606120516
