threshold,accuracy,balanced_accuracy,precision,recall,f1
0.1,0.5468729903067143,0.5388775799100491,0.5289227531054665,0.9987846865850122,0.6915983158335045
0.12,0.5597028772363104,0.5520169388649709,0.5362643476951803,0.99412278497878,0.696702939319783
0.14,0.5909969179863133,0.5839013971950849,0.5547982782728814,0.9920456043776187,0.711623453989169
0.16,0.6012114487000784,0.5943620365942055,0.5613557456815856,0.9883497305029949,0.7160274109977018
0.18,0.607576160891302,0.6009780022392059,0.5659649395090676,0.9805132486517674,0.7176772691776537
0.2,0.6230548212849577,0.616945843345129,0.5771869067452374,0.9683427360199185,0.723266293971023
0.22,0.6361775784741523,0.6303614669162855,0.5865601294681766,0.9649122786911277,0.7296024964904007
0.24,0.6544713453645132,0.6490983374326063,0.600513012916533,0.9581612134465234,0.7383047302823751
0.26,0.6609090626097732,0.6556815745813681,0.6055524772299856,0.9563739437091052,0.7415645231521998
0.28,0.6719830054385748,0.6671527543410289,0.615706520267258,0.9449955036903757,0.7456130437634396
0.3,0.6829882304945768,0.678502514549666,0.6259188257756862,0.9365271235741279,0.7503491019814571
0.32,0.6972139701568817,0.6931275980124887,0.6394252711679901,0.9281813971906748,0.7572086207226302
0.34,0.7089743897487364,0.7054211150680454,0.6537280729969229,0.9098104079928495,0.7607981665193188
0.36,0.7180700524820496,0.7150358978801825,0.6671630945933814,0.8895646831356756,0.7624772106367232
0.38,0.7276650573545276,0.7249537660790464,0.6790945066992011,0.8809110045442227,0.7669483469965894
0.4,0.7333342338693684,0.7309438308449232,0.6886370126318824,0.8684431315960424,0.7681583841395825
0.42,0.7417878508145644,0.7397477789778804,0.7015075832092121,0.8570955434165545,0.7715357591296566
0.44,0.7380504569676928,0.73623703216472,0.702774256994188,0.8405477445523818,0.7655114306074587
0.46,0.7251797318764664,0.723746957551947,0.6994458187448683,0.8061621259318972,0.7490219883697471
0.48,0.7146687584973628,0.713552061344471,0.6966392628297929,0.7777860319775354,0.7349796423927262
0.5,0.7186537771486802,0.7180434199257053,0.7109357160710752,0.7531520147982923,0.7314352216216633
0.52,0.7207548828779071,0.7206401557275819,0.724756605176558,0.7272394206990493,0.7259958902140466
0.54,0.708930814503071,0.7092363629711764,0.7238636713247135,0.6916607908687217,0.7073959267560438
0.56,0.7104522673094535,0.7112473045894501,0.7392718243189349,0.665515656431112,0.7004575142995346
0.58,0.6945706254127435,0.6957313117396324,0.732758974652317,0.6289670227446327,0.6769074418164736
0.6,0.6907865071495867,0.6921279214969476,0.7340312550454867,0.6149679058454297,0.6692452846928306
0.62,0.6871479841056579,0.6889536389725219,0.7451552718788458,0.5850898640974643,0.6554924125847242
0.64,0.6894128227947016,0.6913951708150895,0.7544377859746593,0.5773677604323076,0.6541316126049421
0.66,0.6756208243188043,0.6779244126621344,0.7486770327563309,0.5454188129004292,0.6310854637579613
0.68,0.6762883567061767,0.6788658707354788,0.7606483687288871,0.5306036852040446,0.6251340725657514
0.7,0.6648098468620989,0.6678532264587927,0.7645991635747029,0.4927938066930732,0.5993189739752974
0.72,0.6613935472507535,0.664808890402081,0.7775464636364438,0.46835361054748764,0.5845841109706805
0.74,0.6543530113208628,0.6582349077163717,0.7917163812231491,0.43494283750380053,0.5614458589481952
0.76,0.6390880262356899,0.6434701832351069,0.7950575795772079,0.39140242853450585,0.5245646129557276
0.78,0.6209791754299306,0.6258029113708864,0.7885193311783513,0.3483349228740902,0.48320850176115904
0.8,0.61551591364831,0.6208243234364699,0.8156446752098206,0.31547722233758335,0.4549771640131309
0.82,0.5899665293605209,0.5959499593484154,0.8132171809042548,0.2517747591770077,0.3845053698061807
0.84,0.5729223617873016,0.5794078065064434,0.8179911273415986,0.20635602200704856,0.3295706834984737
0.86,0.5512040262325336,0.5580863453735789,0.7848704523419646,0.16220579311424743,0.26884959859327967
0.88,0.5296561159545637,0.5371497368339556,0.7754829860745893,0.10610625986650753,0.18667105938808917
0.9,0.5178807605579492,0.5257891903987804,0.7917277945812393,0.07088532605735415,0.1301206335141621
